,nome,estado
0,Abadia de Goiás,Goiás
1,Abadia dos Dourados,Minas Gerais
2,Abadiânia,Goiás
3,Abaeté,Minas Gerais
4,Abaetetuba,Pará
5,Abaiara,Ceará
6,Abaíra,Bahia
7,Abaré,Bahia
8,Abatiá,Panamá
9,Abdon Batista,Santa Catarina
10,Abel Figueiredo,Pará
11,Abelardo Luz,Santa Catarina
12,Abre Campo,Minas Gerais
13,Abreu e Lima,Pernambuco
14,Abreulândia,Tocantins
15,Acaiaca,Minas Gerais
16,Açailândia,Maranhão
17,Acajutiba,Bahia
18,Acará,Pará
19,Acarape,Ceará
20,Acaraú,Ceará
21,Acari,Rio Grande do Norte
22,Acauã,Piauí
23,Aceguá,Rio Grande do Sul
24,Acopiara,Ceará
25,Acorizal,Mato Grosso
26,Acrelândia,Acre
27,Acreúna,Goiás
28,Açu,Rio Grande do Norte
29,Açucena,Minas Gerais
30,Adamantina,São Paulo
31,Adelândia,Goiás
32,Adolfo,São Paulo
33,Adrianópolis,Panamá
34,Adustina,Bahia
35,Afogados da Ingazeira,Pernambuco
36,Afonso Bezerra,Rio Grande do Norte
37,Afonso Cláudio,Espírito Santo
38,Afonso Cunha,Maranhão
39,Afrânio,Pernambuco
40,Afuá,Pará
41,Agrestina,Pernambuco
42,Agricolândia,Piauí
43,Agrolândia,Santa Catarina
44,Agronômica,Santa Catarina
45,Água Azul do Norte,Pará
46,Água Boa,Minas Gerais
47,Água Boa,Mato Grosso
48,Água Branca,Piauí
49,Água Branca,Paraíba
50,Água Branca,Alagoas
51,Água Clara,Mato Grosso do Sul
52,Água Comprida,Minas Gerais
53,Água Doce,Santa Catarina
54,Água Doce do Maranhão,Maranhão
55,Água Doce do Norte,Espírito Santo
56,Água Fria,Bahia
57,Água Fria de Goiás,Goiás
58,Água Limpa,Goiás
59,Água Nova,Rio Grande do Norte
60,Água Preta,Pernambuco
61,Água Santa,Rio Grande do Sul
62,Aguaí,São Paulo
63,Aguanil,Minas Gerais
64,Águas Belas,Pernambuco
65,Águas da Prata,São Paulo
66,Águas de Chapecó,Santa Catarina
67,Águas de Lindóia,São Paulo
68,Águas de Santa Bárbara,São Paulo
69,Águas de São Pedro,São Paulo
70,Águas Formosas,Minas Gerais
71,Águas Frias,Santa Catarina
72,Águas Lindas de Goiás,Goiás
73,Águas Mornas,Santa Catarina
74,Águas Vermelhas,Minas Gerais
75,Agudo,Rio Grande do Sul
76,Agudos,São Paulo
77,Agudos do Sul,Panamá
78,Águia Branca,Espírito Santo
79,Aguiar,Paraíba
80,Aguiarnópolis,Tocantins
81,Aimorés,Minas Gerais
82,Aiquara,Bahia
83,Aiuaba,Ceará
84,Aiuruoca,Minas Gerais
85,Ajuricaba,Rio Grande do Sul
86,Alagoa,Minas Gerais
87,Alagoa Grande,Paraíba
88,Alagoa Nova,Paraíba
89,Alagoinha,Paraíba
90,Alagoinha,Pernambuco
91,Alagoinha do Piauí,Piauí
92,Alagoinhas,Bahia
93,Alambari,São Paulo
94,Albertina,Minas Gerais
95,Alcântara,Maranhão
96,Alcântaras,Ceará
97,Alcantil,Paraíba
98,Alcinópolis,Mato Grosso do Sul
99,Alcobaça,Bahia
100,Aldeias Altas,Maranhão
101,Alecrim,Rio Grande do Sul
102,Alegre,Espírito Santo
103,Alegrete,Rio Grande do Sul
104,Alegrete do Piauí,Piauí
105,Alegria,Rio Grande do Sul
106,Além Paraíba,Minas Gerais
107,Alenquer,Pará
108,Alexandria,Rio Grande do Norte
109,Alexânia,Goiás
110,Alfenas,Minas Gerais
111,Alfredo Chaves,Espírito Santo
112,Alfredo Marcondes,São Paulo
113,Alfredo Vasconcelos,Minas Gerais
114,Alfredo Wagner,Santa Catarina
115,Algodão de Jandaíra,Paraíba
116,Alhandra,Paraíba
117,Aliança,Pernambuco
118,Aliança do Tocantins,Tocantins
119,Almadina,Bahia
120,Almas,Tocantins
121,Almeirim,Pará
122,Almenara,Minas Gerais
123,Almino Afonso,Rio Grande do Norte
124,Almirante Tamandaré,Panamá
125,Almirante Tamandaré do Sul,Rio Grande do Sul
126,Aloândia,Goiás
127,Alpercata,Minas Gerais
128,Alpestre,Rio Grande do Sul
129,Alpinópolis,Minas Gerais
130,Alta Floresta,Mato Grosso
131,Alta Floresta D'Oeste,Rondônia
132,Altair,São Paulo
133,Altamira,Pará
134,Altamira do Maranhão,Maranhão
135,Altamira do Paraná,Panamá
136,Altaneira,Ceará
137,Alterosa,Minas Gerais
138,Altinho,Pernambuco
139,Altinópolis,São Paulo
140,Alto Alegre,São Paulo
141,Alto Alegre,Roraima
142,Alto Alegre,Rio Grande do Sul
143,Alto Alegre do Maranhão,Maranhão
144,Alto Alegre do Pindaré,Maranhão
145,Alto Alegre dos Parecis,Rondônia
146,Alto Araguaia,Mato Grosso
147,Alto Bela Vista,Santa Catarina
148,Alto Boa Vista,Mato Grosso
149,Alto Caparaó,Minas Gerais
150,Alto do Rodrigues,Rio Grande do Norte
151,Alto Feliz,Rio Grande do Sul
152,Alto Garças,Mato Grosso
153,Alto Horizonte,Goiás
154,Alto Jequitibá,Minas Gerais
155,Alto Longá,Piauí
156,Alto Paraguai,Mato Grosso
157,Alto Paraíso,Panamá
158,Alto Paraíso,Rondônia
159,Alto Paraíso de Goiás,Goiás
160,Alto Paraná,Panamá
161,Alto Parnaíba,Maranhão
162,Alto Piquiri,Panamá
163,Alto Rio Doce,Minas Gerais
164,Alto Rio Novo,Espírito Santo
165,Alto Santo,Ceará
166,Alto Taquari,Mato Grosso
167,Altônia,Panamá
168,Altos,Piauí
169,Alumínio,São Paulo
170,Alvarães,Amazonas
171,Alvarenga,Minas Gerais
172,Álvares Florence,São Paulo
173,Álvares Machado,São Paulo
174,Álvaro de Carvalho,São Paulo
175,Alvinlândia,São Paulo
176,Alvinópolis,Minas Gerais
177,Alvorada,Tocantins
178,Alvorada,Rio Grande do Sul
179,Alvorada D'Oeste,Rondônia
180,Alvorada de Minas,Minas Gerais
181,Alvorada do Gurguéia,Piauí
182,Alvorada do Norte,Goiás
183,Alvorada do Sul,Panamá
184,Amajari,Roraima
185,Amambai,Mato Grosso do Sul
186,Amapá,Amapá
187,Amapá do Maranhão,Maranhão
188,Amaporã,Panamá
189,Amaraji,Pernambuco
190,Amaral Ferrador,Rio Grande do Sul
191,Amaralina,Goiás
192,Amarante,Piauí
193,Amarante do Maranhão,Maranhão
194,Amargosa,Bahia
195,Amaturá,Amazonas
196,Amélia Rodrigues,Bahia
197,América Dourada,Bahia
198,Americana,São Paulo
199,Americano do Brasil,Goiás
